fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Oct,29,TAMIL NADU,2934,Ranipet,1915204,286.405059385521,18,1681,1286.5757164,6106,0,4315,2338112,606163,54875,36917,2406,181.26495,8164.3117285,123726,132194,159119,220411,21,184314,249799,10421,6696.4710621,2107397,57,46.32,61.61,100,NA
2025-2026,Oct,29,TAMIL NADU,2937,KALLAKURICHI,1864273,275.348410010573,15,3017,4274.67489050002,10071,0,8275,3128612,980199,162127,106638,20776,268.3414,13157.5996879,196567,243347,297153,514324,64,317685,539455,18346,8614.5833974,2346151,48,44.31,47.34,100.01,NA
2025-2026,Oct,29,TAMIL NADU,2908,NAMAKKAL,1357444,272.756238764269,16,2259,1298.326298953,6002,0,3550,1617051,441490,63716,122645,20837,314.83061,6023.764395453,95687,99730,182353,227812,11,221192,277476,9552,4410.6074865,1437737,35,46.71,73.14,100,NA
2025-2026,Oct,29,TAMIL NADU,2914,NAGAPATTINAM,809850,297.976699717294,12,418,1606.7020596,5091,0,3305,708509,316450,82929,797,250,136.52859,3854.422385,56193,64144,107217,165615,8,120220,181111,8396,2111.1917354,561455,72,34.14,36.82,100,NA
2025-2026,Oct,29,TAMIL NADU,2917,KARUR,1384772,301.171325717561,18,1265,613.9800545,4445,0,3151,1256165,286896,36517,159,26,163.4106,4560.5994382,67374,70903,124365,155397,16,143191,178154,7596,3783.2087837,1103146,65,46.42,87.82,100,NA
2025-2026,Oct,29,TAMIL NADU,2919,PUDUKKOTTAI,3609324,260.256780749093,17,1333,2964.29476039999,6447,0,8870,3386645,601312,82213,2853,90,444.97163,12223.2396428001,196394,207694,294395,425264,15,334073,476343,15317,8813.9732524001,3055657,47,30.29,69.61,100,NA
2025-2026,Oct,29,TAMIL NADU,2931,ARIYALUR,1380542,288.325357587406,12,1151,1538.7648925,4165,0,3256,1557759,332181,56619,21183,3025,135.28755,6165.4666496,126820,145382,180366,255623,3,192415,269010,7421,4491.4142071,1266178,52,56.55,61.12,100,NA
2025-2026,Oct,29,TAMIL NADU,2937,KALLAKURICHI,1864273,274.660918398371,15,3002,4274.67489050002,10055,0,8291,3101617,970740,162118,106009,20775,268.3414,13061.9460279,195420,241769,297119,514276,63,317676,539439,18346,8518.92973740001,2325432,48,44.18,47.1,100.01,NA
2025-2026,Sep,29,TAMIL NADU,2907,SALEM,1611170,277.61203469943,14,2627,4547.358928207,10999,0,7109,2332949,438496,81519,204311,30405,431.99797,11455.904085607,162103,169627,343338,425571,18,438951,532698,18108,6476.5471874,2072641,56,28.49,53.62,100,NA
2025-2026,Sep,29,TAMIL NADU,2920,MADURAI,2590994,277.440416309964,17,3729,3969.970075765,8296,0,9109,3435397,706702,67252,4483,672,323.86285,13825.012664465,201808,213882,273773,322343,5,301798,363255,17405,9531.17973870003,3046088,60,52.83,60.06,100,NA
2025-2026,Sep,29,TAMIL NADU,2925,SIVAGANGAI,1881207,264.023882603563,20,2140,4130.4257761,4743,0,8810,2659723,545388,45803,182,19,365.36419,11518.0938972,131074,136048,186840,222045,4,203166,239992,13553,7022.30393109997,2427912,39,64.58,66.36,100,NA
2025-2026,Sep,29,TAMIL NADU,2938,MAYILADUTHURAI,774130,269.261411525194,10,576,1573.8174286,3546,0,5400,845348,386302,106660,557,276,143.69337,3993.7067557,78166,95251,153421,233981,1,162488,244201,8946,2276.1959571,664599,60,49.44,48.99,100,NA
2025-2026,Oct,29,TAMIL NADU,2901,KANCHIPURAM,901715,295.701721717402,18,989,1178.5588882,4250,0,4344,1478303,569403,57513,23987,2560,217.90567,5767.8319814,80915,83634,129293,157811,34,142288,178847,8594,4371.3674232,1293103,63,45.56,62.25,100,NA
2025-2026,Oct,29,TAMIL NADU,2902,TIRUVALLUR,3372623,228.097092305903,21,2433,2375.9856489,8445,0,12449,4023838,1451681,118944,137990,8808,421.03893,11975.282056,190843,195785,267021,313936,29,312540,379987,20894,9178.2574771,3658238,48,39.92,63.37,100,NA
2025-2026,Oct,29,TAMIL NADU,2904,VILLUPURAM,4839831,251.316488454913,21,9549,3814.127938279,11366,0,10809,7195485,2091893,177879,92050,6985,534.65586,22432.224027579,341844,375111,431559,604026,50,462529,647542,22175,18083.4402293,5932588,59,57.15,64.17,100,NA
2025-2026,Oct,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1988872,280.174846304508,12,4355,2011.89761396,7891,0,4985,2749918,588423,83446,31794,5121,305.37787,10021.85401396,216882,228633,303813,376885,15,325333,405019,12876,7704.57853,2401105,50,48.73,65.58,100,NA
2025-2026,Oct,29,TAMIL NADU,2923,RAMANATHAPURAM,2596426,240.405387741244,21,3818,2250.2544313,6488,0,10423,2960170,727124,62972,222,23,301.56363,9668.22622759998,140550,149719,199275,245794,15,224041,272928,16911,7116.40816629998,2611111,59,51.11,58.4,100,NA
2025-2026,Oct,29,TAMIL NADU,2937,KALLAKURICHI,1864273,276.434939970665,16,3196,4284.34872110002,10436,0,8108,3371435,1056354,161530,109491,20832,268.3414,13872.5144395,204664,254809,297262,512859,67,317642,537805,18544,9319.8243184,2531356,48,45.29,49.18,100.01,NA
2025-2026,Oct,29,TAMIL NADU,2938,MAYILADUTHURAI,918657,271.833601279256,11,617,1576.8820582,4067,0,5075,952742,435684,106681,671,277,143.69337,4310.4483177,83178,101843,153486,234095,2,162606,244379,9142,2589.8728895,748729,60,48.74,48.26,100,NA
2025-2026,Oct,29,TAMIL NADU,2902,TIRUVALLUR,3372623,231.301120377373,21,2437,2375.9856489,8562,0,12469,4048618,1461073,118963,138910,8812,421.03893,12161.5233727,191257,196221,267050,313989,29,312628,380111,21031,9364.4987938,3680606,48,39.79,63.33,100,NA
2025-2026,Oct,29,TAMIL NADU,2903,CUDDALORE,4359936,262.417186774638,17,5353,4582.3862549,7752,0,13533,5241777,1936459,253930,29901,3522,497.19885,18834.9088453,300553,353483,421666,681051,31,472373,742635,21285,13755.3237404,4242350,49,59.76,66.36,100,NA
2025-2026,Oct,29,TAMIL NADU,2917,KARUR,1384772,300.114878184843,19,1358,613.9800545,4520,0,3332,1428681,328534,36560,179,26,163.8106,5065.4748973,71730,75769,124491,155559,22,143219,178201,7852,4287.6842428,1255159,63,48.02,88.25,100,NA
2025-2026,Oct,29,TAMIL NADU,2922,DINDIGUL,2628453,310.878225875083,20,3554,4309.3239487,13470,0,8477,3600344,900244,83733,3030,387,547.39185,16049.4013513,175161,185288,284234,344771,18,316934,379888,21947,11192.6855526,3089413,72,49.63,74.6,100,NA
2025-2026,Oct,29,TAMIL NADU,2925,SIVAGANGAI,2379168,266.220373102766,22,2194,4133.5500129,4866,0,9183,3002926,615365,45847,208,19,365.36419,12493.3150041,134575,139928,187006,222282,9,203342,240226,14049,7994.40080119997,2740327,38,63.07,64.55,100,NA
2025-2026,Oct,29,TAMIL NADU,2927,THOOTHUKKUDI,2051884,266.744491725223,21,1848,1808.6616549,3743,0,5064,2341332,760250,59266,1294,159,355.88957,8409.9253679,106559,112421,151656,179855,31,172895,214785,8807,6245.374143,2078220,33,52.04,55.55,100,NA
2025-2026,Oct,29,TAMIL NADU,2928,KANNIYAKUMARI,372202,313.27499424639,23,357,577.997551205999,2781,1,2047,530971,43542,4255,5165,439,143.64866,2385.045580906,22443,23662,40262,50765,16,78536,97524,4828,1663.3993697,433287,71,54.41,53.76,100,NA
2025-2026,Oct,29,TAMIL NADU,2930,KRISHNAGIRI,2752248,275.574692676438,19,1948,3417.4416216,8315,0,6786,3070282,409728,38916,27426,2820,371.58436,12249.9461674,154503,160840,256320,287611,28,296968,335044,15101,8460.9201858,2803192,70,45.49,63.69,100,NA
2025-2026,Oct,29,TAMIL NADU,2932,TIRUPPUR,1470706,278.919271936121,26,481,1197.909555318,5180,0,4214,1678795,596769,62617,1027,208,181.01412,6061.40646661801,64013,65962,134865,159833,181,179444,230973,9394,4682.48279130001,1443240,44,36.43,75.05,100,NA
2025-2026,Oct,29,TAMIL NADU,2933,CHENGALPATTU,2017627,306.392745352618,21,2659,1588.69109729,7438,0,7133,2697271,1144539,104274,59018,4376,272.77481,10125.70857379,125168,129650,196186,240575,121,220528,280463,14571,8264.24266650001,2386766,57,32.02,65.16,100,NA
2025-2026,Oct,29,TAMIL NADU,2935,TIRUPATHUR,1107287,293.97140084033,16,886,725.4121999,6113,0,5738,1245224,229382,25564,26975,5067,171.19481,4557.2094463,76276,80004,130221,150198,5,142451,164951,11851,3660.6024364,1135345,69,28.96,58.74,100,NA
2025-2026,Oct,29,TAMIL NADU,2938,MAYILADUTHURAI,918657,271.986996949812,11,620,1576.8820582,4105,0,5075,963547,440220,106685,671,277,143.69337,4341.2979777,83749,102554,153497,234108,2,162621,244395,9180,2620.7225495,757469,60,48.88,48.4,100,NA
2025-2026,Oct,29,TAMIL NADU,2909,DHARMAPURI,2108771,284.984570848896,15,1731,2047.1057501,5954,0,8071,2343184,308550,37878,93573,8456,267.35049,8992.16910669998,150696,158133,243203,278125,13,277941,315179,14025,6677.71286659999,2159088,63,65.38,71.42,100,NA
2025-2026,Oct,29,TAMIL NADU,2910,ERODE,1051142,295.228170595256,20,1668,1476.630425738,5969,0,4209,1419254,370531,46245,16920,2976,239.22371,5905.891756038,68556,70339,141611,164957,33,193181,226010,10178,4190.0376203,1194567,60,57.3,69.01,100,NA
2025-2026,Oct,29,TAMIL NADU,2918,PERAMBALUR,1056885,280.544879991128,14,1127,885.806200356,1873,0,2028,1298529,380580,55430,6465,497,102.98241,4631.74523505599,88441,98660,123461,175885,14,143320,198581,3901,3642.95662469999,1100611,59,58.06,64.81,100,NA
2025-2026,Oct,29,TAMIL NADU,2920,MADURAI,3244520,276.193946338663,18,3787,4015.583429665,8749,0,9131,3866769,796828,67316,5418,674,324.66285,15020.0281765651,205959,218638,274019,322696,10,302170,363726,17880,10679.7818969001,3426767,59,53.33,60.74,100,NA
2025-2026,Oct,29,TAMIL NADU,2927,THOOTHUKKUDI,2051884,264.235153957662,21,1844,1808.6616549,3705,0,5039,2315799,751717,59255,1284,159,355.88957,8283.7062779,106355,112196,151628,179820,31,172839,214715,8744,6119.155053,2055170,33,53.07,56.68,100,NA
2025-2026,Oct,29,TAMIL NADU,2928,KANNIYAKUMARI,372202,309.901229981932,23,355,577.997551205999,2728,1,2063,518032,42442,4254,5079,436,143.64866,2327.033750906,22306,23516,40252,50742,16,78526,97506,4791,1605.3875397,422931,71,54.52,53.84,100,NA
2025-2026,Oct,29,TAMIL NADU,2932,TIRUPPUR,1470706,278.428467877458,26,481,1197.909555318,5050,0,4242,1676315,596038,62613,1027,208,181.01412,6046.26184661801,63992,65941,134863,159825,180,179436,230960,9292,4667.33817130001,1441059,45,36.75,76.31,100,NA
2025-2026,Oct,29,TAMIL NADU,2933,CHENGALPATTU,2017627,305.263585250979,21,2653,1588.69109729,7255,0,7203,2689887,1140728,104251,58689,4368,272.57481,10072.51140269,124909,129385,196170,240518,116,220467,280345,14458,8211.2454954,2380341,57,32.21,65.64,100,NA
2025-2026,Oct,29,TAMIL NADU,2934,Ranipet,1915204,282.672776800885,19,1700,1294.3838796,6264,0,4269,2461887,641872,54911,38779,2408,181.26495,8434.7331742,125077,133762,159194,220548,36,184496,250042,10533,6959.0843446,2218253,57,45.76,61.62,100,NA
2025-2026,Oct,29,TAMIL NADU,2935,TIRUPATHUR,1107287,291.115540644598,16,873,725.4121999,6055,0,5760,1223336,224793,25564,26325,5066,171.19481,4457.92822019999,75446,79099,130198,150169,5,142443,164942,11815,3561.32121029999,1115647,70,28.46,58.33,100,NA
2025-2026,Oct,29,TAMIL NADU,2906,TIRUVANNAMALAI,7049847,197.728638606645,20,15020,4274.6257649,9320,0,10632,8192724,1859208,150239,242885,27696,760.77405,21234.7614448999,400627,430719,514289,659028,107,542166,689055,19952,16199.3616299999,6801349,50,57.24,62.98,100,NA
2025-2026,Oct,29,TAMIL NADU,2907,SALEM,1842539,282.706341111415,15,2695,4547.358928207,11408,0,6916,2550586,478390,81582,220450,30431,432.40643,12190.433715707,167632,175593,343555,425895,21,439169,533033,18324,7210.6683575,2267201,55,28.41,53.44,100,NA
2025-2026,Oct,29,TAMIL NADU,2910,ERODE,1051142,296.542394719547,20,1671,1476.630425738,6055,0,4110,1431771,373516,46250,17006,2976,239.22371,5961.662146038,68805,70597,141621,164967,33,193186,226018,10165,4245.8080103,1205119,60,57.25,68.9,100,NA
2025-2026,Oct,29,TAMIL NADU,2926,TIRUNELVELI,1100420,288.223987820691,24,351,1642.648208289,3567,0,4195,1080357,280205,33991,1288,139,181.85278,4938.34901638898,43350,44663,97170,114550,21,120648,140228,7762,3113.84802809998,979546,44,35.36,56.91,100,NA
2025-2026,Oct,29,TAMIL NADU,2930,KRISHNAGIRI,2752248,275.923941001613,19,1947,3417.4416216,8306,0,6754,3063338,408912,38915,27411,2820,371.58436,12241.5089174,154419,160752,256319,287608,25,296937,335009,15060,8452.4829358,2797075,71,45.69,63.96,100,NA
2025-2026,Oct,29,TAMIL NADU,2937,KALLAKURICHI,1864273,276.535160083386,16,3214,4284.34872110002,10444,0,8117,3401040,1065045,161322,111333,20841,268.3414,13957.7615296,205407,255970,297261,512305,68,317612,537196,18561,9405.0714085,2552937,47,45.49,49.44,100.01,NA
2025-2026,Oct,29,TAMIL NADU,2938,MAYILADUTHURAI,918657,270.749734934867,11,619,1576.8820582,4099,0,5056,960330,438976,106685,671,277,143.69337,4320.6663577,83614,102377,153497,234106,2,162614,244385,9155,2600.0909295,754907,60,48.83,48.36,100,NA
2025-2026,Oct,29,TAMIL NADU,2907,SALEM,1842539,282.414601902385,14,2665,4547.358928207,11215,0,6966,2451660,461206,81545,214301,30421,432.40643,11903.611187207,165104,172834,343434,425734,21,439125,532959,18181,6923.845829,2178732,55,28.76,53.95,100,NA
2025-2026,Oct,29,TAMIL NADU,2909,DHARMAPURI,2108771,282.955260742095,15,1717,2047.1057501,5686,0,8092,2290405,300709,37876,91929,8452,267.35049,8795.27767989999,149453,156788,243150,278062,12,277883,315108,13778,6480.82143979999,2110324,63,65.77,71.81,100,NA
2025-2026,Oct,29,TAMIL NADU,2915,TIRUVARUR,870333,311.550613096727,12,592,1858.6066013,8072,0,4082,615482,266755,145066,76,39,307.56339,4083.7079358,48990,57178,179526,271871,8,197995,293997,12154,1917.5379445,474893,53,25.99,24.34,100,NA
2025-2026,Oct,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1988872,279.772313826926,12,4293,2011.89761396,7724,0,4698,2621190,560512,83414,29862,5120,305.37787,9650.63939676,213539,224792,303677,376703,13,325070,404702,12422,7333.3639128,2288713,52,48.73,65.81,100,NA
2025-2026,Oct,29,TAMIL NADU,2917,KARUR,1384772,295.283386022435,19,1284,613.9800545,4459,0,3163,1326397,302562,36525,165,26,163.4106,4694.0206282,68601,72258,124389,155431,22,143193,178158,7622,3916.6299737,1164798,65,47.15,88.23,100,NA
2025-2026,Oct,29,TAMIL NADU,2928,KANNIYAKUMARI,372202,308.932739874684,22,354,577.997551205999,2542,1,2202,501293,40653,4253,4329,430,143.64866,2270.304410906,22162,23365,40214,50685,15,78517,97491,4744,1548.6581997,409061,72,54.24,53.55,100,NA
2025-2026,Oct,29,TAMIL NADU,2931,ARIYALUR,1380542,284.988622614833,12,1172,1538.7648925,4186,0,3246,1600569,340875,56631,21715,3025,135.28755,6235.4919896,128378,147466,180377,255613,4,192472,269044,7432,4561.4395471,1300298,52,57.09,61.71,100,NA
2025-2026,Oct,29,TAMIL NADU,2935,TIRUPATHUR,1107287,294.621759011807,15,847,725.4121999,5959,0,5779,1166331,214632,25556,24601,5064,171.19481,4332.871918,74048,77550,130156,150105,5,142359,164839,11738,3436.2649081,1064152,70,27.82,58.24,100,NA
2025-2026,Oct,29,TAMIL NADU,2911,COIMBATORE,398647,308.992315929443,20,140,1242.727952154,4521,0,3187,609155,231054,29199,12923,1851,209.18184,3334.151934254,29366,29854,75366,84407,1,110192,123399,7708,1882.2421421,557327,55,62.77,64.24,100,NA
2025-2026,Oct,29,TAMIL NADU,2913,THANJAVUR,2006948,246.591177556857,17,2616,1969.725117203,8532,0,7812,3308681,997044,117353,2448,135,423.77811,10552.418666703,187689,211332,273423,368561,89,299678,397681,16344,8158.9154395,2837751,51,63.28,61.4,100,NA
2025-2026,Oct,29,TAMIL NADU,2920,MADURAI,3244520,273.266376949679,19,3823,4015.583429665,8913,0,9226,4101704,846084,67360,5901,673,324.66285,15548.824193665,207619,220516,274190,322937,10,302555,364189,18139,11208.577914,3635848,58,53.47,60.77,100,NA
2025-2026,Oct,29,TAMIL NADU,2925,SIVAGANGAI,2379168,263.082202393209,23,2216,4133.5500129,4878,0,9201,3156430,647900,45864,208,19,365.36419,12802.9197639,135509,140999,187052,222349,14,203388,240283,14079,8304.00556099996,2879808,38,63.24,64.68,100,NA
2025-2026,Oct,29,TAMIL NADU,2935,TIRUPATHUR,1107287,287.827468066909,16,897,728.0421999,6134,0,5741,1290824,239360,25565,28378,5073,171.19481,4614.5830463,77070,80859,130242,150229,5,142494,165000,11875,3715.3460364,1177398,69,29.54,59.24,100,NA
2025-2026,Oct,29,TAMIL NADU,2938,MAYILADUTHURAI,918657,272.184087129607,11,623,1576.8820582,4126,0,5078,988711,451069,106689,689,277,143.69337,4411.6894379,84615,103696,153512,234126,2,162623,244402,9204,2691.1140097,777482,60,48.7,48.26,100,NA
2025-2026,Oct,29,TAMIL NADU,2903,CUDDALORE,4359936,262.255137896296,18,5414,4582.3862549,7944,0,13467,5491228,2021808,254032,31371,3525,497.59085,19481.0046685,304696,359129,421835,681399,34,472522,742946,21411,14401.0275636,4448203,49,60.33,66.79,100,NA
2025-2026,Oct,29,TAMIL NADU,2904,VILLUPURAM,4839831,253.082836187857,21,9579,3814.127938279,12098,0,10422,7376828,2140469,177939,95151,6985,535.21607,23018.829531379,343223,377004,431652,604269,76,462768,647980,22520,18669.4855231,6081205,58,56.78,63.71,100,NA
2025-2026,Oct,29,TAMIL NADU,2909,DHARMAPURI,2108771,285.122907853429,16,1763,2047.1057501,6213,0,8616,2491281,330280,37893,95621,8459,267.35049,9417.66907009998,153682,161368,243287,278234,20,278009,315270,14829,7103.21282999998,2295597,62,64.73,70.55,100,NA
2025-2026,Oct,29,TAMIL NADU,2913,THANJAVUR,2006948,248.743975478311,17,2620,1969.725117203,8569,0,7907,3316982,1000014,117350,2448,135,423.77811,10644.296119903,187811,211493,273428,368558,89,299701,397695,16476,8250.7928927,2844774,50,63.32,61.45,100,NA
2025-2026,Oct,29,TAMIL NADU,2926,TIRUNELVELI,1100420,289.068821538433,25,361,1642.648208289,3611,0,4197,1160530,302681,34001,1360,139,181.85278,5179.23138288897,45226,46636,97211,114593,31,120675,140264,7808,3354.73039459997,1053170,44,36.98,58.39,100,NA
2025-2026,Oct,29,TAMIL NADU,2927,THOOTHUKKUDI,2051884,266.600305187508,22,1852,1808.6616549,3788,0,5098,2442695,794514,59292,1337,159,355.88957,8676.7835497,107195,113140,151708,179947,41,172983,214932,8886,6512.2323248,2168627,33,51.36,54.71,100,NA
2025-2026,Oct,29,TAMIL NADU,2931,ARIYALUR,1380542,287.01710114048,13,1224,1538.7648925,4256,0,3400,1758119,375695,56668,23705,3026,136.10335,6720.9704309,132210,152596,180444,255740,8,192517,269144,7656,5046.1021884,1426969,51,56.34,60.67,100,NA
2025-2026,Oct,29,TAMIL NADU,2932,TIRUPPUR,1470706,279.365440663049,27,485,1197.909555318,5266,0,4167,1767836,628924,62636,1053,208,181.01412,6317.64650691801,64822,66824,134893,159871,208,179457,230994,9433,4938.72283160001,1521181,44,37,75.76,100,NA
2025-2026,Oct,29,TAMIL NADU,2934,Ranipet,1915204,288.211754341438,20,1716,1294.3838796,6411,0,4261,2647683,690984,54935,41931,2408,181.26495,9106.58245330001,126567,135589,159340,220734,47,184613,250197,10672,7630.93362370001,2385137,56,45.97,62.92,100,NA
2025-2026,Oct,29,TAMIL NADU,2901,KANCHIPURAM,901715,294.407522596165,18,998,1178.5588882,4433,0,4326,1564646,602317,57542,25813,2562,217.90567,6002.9000842,82372,85216,129350,157904,53,142350,178955,8759,4606.435526,1367344,63,45.74,62.18,100,NA
2025-2026,Oct,29,TAMIL NADU,2913,THANJAVUR,2006948,247.860785710889,17,2638,1969.725117203,8593,0,7943,3364940,1012452,117355,2508,135,423.77811,10733.869949903,188665,212614,273446,368597,95,299755,397774,16536,8340.3667227,2885696,50,63.66,61.82,100,NA
2025-2026,Oct,29,TAMIL NADU,2918,PERAMBALUR,1056885,281.434344321612,15,1137,885.806200356,1901,0,2123,1372159,400815,55441,7025,497,102.98241,4850.51529505599,89835,100292,123508,175944,17,143341,198603,4024,3861.72668469999,1163249,57,57.93,64.95,100,NA
2025-2026,Oct,29,TAMIL NADU,2924,VIRUDHUNAGAR,2765016,270.767762392795,22,3317,2325.8442322,3805,0,4571,3069949,868153,76282,689,152,279.41035,10917.6867961,134783,142954,217577,267213,100,249027,301518,8376,8312.43221389999,2640538,33,37.41,78.25,100,NA
2025-2026,Oct,29,TAMIL NADU,2928,KANNIYAKUMARI,372202,309.486119886188,25,361,577.997551205999,2893,1,1981,578849,48077,4255,6716,444,143.64866,2513.103521306,22826,24070,40272,50785,22,78543,97538,4874,1791.4573101,473694,70,55.85,55.25,100,NA
2025-2026,Oct,29,TAMIL NADU,2930,KRISHNAGIRI,2752248,274.423970638934,20,1986,3417.4416216,8427,0,6833,3269023,438361,38943,29155,2823,371.58436,12760.0086993,157071,163579,256452,287773,36,297128,335256,15260,8970.98271770001,2985867,70,46.08,64.45,100,NA
2025-2026,Oct,29,TAMIL NADU,2931,ARIYALUR,1380542,286.044290891248,13,1229,1538.7648925,4269,0,3403,1781243,380288,56670,23848,3026,136.10335,6770.0121509,132654,153170,180458,255762,8,192522,269154,7672,5095.1439084,1446363,51,56.49,60.77,100,NA
2025-2026,Oct,29,TAMIL NADU,2934,Ranipet,1915204,286.940848673202,21,1716,1294.3838796,6440,0,4260,2659410,693905,54938,42180,2410,181.26495,9106.58245330001,126632,135680,159352,220754,51,184635,250225,10700,7630.93362370001,2395470,56,45.99,63.01,100,NA
2025-2026,Oct,29,TAMIL NADU,2937,KALLAKURICHI,1864273,277.776568476976,17,3299,4284.34872110002,10706,0,8123,3627095,1129357,160598,118920,20887,268.3414,14627.9101475,212094,265357,297360,510491,70,317664,535284,18829,10075.2200264,2727383,47,44.96,49.19,100,NA
2025-2026,Oct,29,TAMIL NADU,2905,VELLORE,959042,289.76297166864,18,1100,1524.3591397,6918,0,6290,1326763,369140,38017,30342,4657,194.3302,5563.1572355,72547,76104,133440,156354,3,147397,186744,13208,3844.4678958,1178110,72,19.92,47.73,100,NA
2025-2026,Oct,29,TAMIL NADU,2912,THE NILGIRIS,279392,335.228316718804,24,142,311.6725686,2394,0,2073,249982,82773,11924,32987,3870,103.72467,1253.4076893,10402,11194,31686,40427,2,56407,68984,4467,838.0104507,197650,86,27.04,23.4,100,NA
2025-2026,Oct,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,1988872,280.499927756228,13,4416,2011.89761396,7977,0,5102,2911116,622002,83501,33480,5121,305.37787,10482.95376086,219729,232023,303927,377122,17,325673,405511,13079,8165.6782769,2542185,49,48.95,65.35,100,NA
2025-2026,Oct,29,TAMIL NADU,2928,KANNIYAKUMARI,372202,312.760573990509,24,361,577.997551205999,2826,1,2012,566647,46864,4255,6097,444,143.64866,2493.894620906,22739,23976,40263,50770,20,78542,97532,4838,1772.2484097,463359,71,55.87,55.26,100,NA
2025-2026,Oct,29,TAMIL NADU,2931,ARIYALUR,1380542,287.009179468817,13,1222,1538.7648925,4250,0,3358,1742676,372059,56668,23538,3025,136.10335,6676.5083309,131498,151691,180441,255736,8,192516,269141,7608,5001.6400884,1414378,51,56.31,60.51,100,NA
2025-2026,Oct,29,TAMIL NADU,2935,TIRUPATHUR,1107287,291.606442992244,17,905,728.0421999,6139,0,5737,1329477,244923,25565,28662,5073,171.19481,4776.0776,77600,81440,130242,150229,7,142498,165004,11876,3876.8405901,1212635,69,30.47,60.08,100,NA
2025-2026,Oct,29,TAMIL NADU,2937,KALLAKURICHI,1864273,276.046933229635,17,3294,4284.34872110002,10470,0,8191,3605327,1124248,160743,116829,20874,268.3414,14505.0847375,211437,264405,297274,510842,70,317570,535627,18661,9952.39461639999,2710820,47,45.66,49.94,100,NA
2025-2026,Oct,29,TAMIL NADU,2938,MAYILADUTHURAI,918657,272.187896512902,11,624,1576.8820582,4126,0,5074,991254,452608,106689,689,277,143.69337,4418.6488399,84733,103850,153512,234126,2,162623,244402,9200,2698.0734117,779546,60,48.78,48.35,100,NA
2025-2026,Oct,29,TAMIL NADU,2907,SALEM,1842539,280.849008200428,15,2745,4547.358928207,11541,0,7029,2693518,503956,81611,232375,30437,432.40643,12544.483946907,170856,179097,343717,426090,29,439226,533109,18570,7564.7185887,2395601,54,28.58,53.47,100,NA
2025-2026,Oct,29,TAMIL NADU,2909,DHARMAPURI,2108771,286.025205377834,16,1767,2047.1057501,6264,0,8781,2510081,333700,37898,96226,8462,267.35049,9493.92057549998,153999,161725,243320,278268,20,278020,315284,15045,7179.46433539998,2312891,62,64.73,70.4,100,NA
2025-2026,Oct,29,TAMIL NADU,2910,ERODE,1051142,295.824440495551,21,1678,1476.630425738,6218,0,4007,1492964,388755,46225,17726,2978,239.22371,6132.406535538,69493,71326,141628,164959,47,193165,225983,10225,4416.5523998,1255972,60,57.42,69.06,100,NA
2025-2026,Oct,29,TAMIL NADU,2913,THANJAVUR,2006948,248.177616097436,17,2625,1969.725117203,8583,0,7937,3332481,1003505,117357,2448,137,423.77811,10663.975129903,188068,211803,273450,368602,93,299746,397763,16520,8270.4719027,2858484,50,63.42,61.57,100,NA
2025-2026,Oct,29,TAMIL NADU,2914,NAGAPATTINAM,809850,297.873068831847,13,432,1606.7020596,5430,0,3156,773392,344240,82969,834,250,137.32059,4047.7491341,58533,66789,107268,165730,17,120252,181199,8586,2303.7264845,614369,72,34,36.36,100.01,NA
2025-2026,Oct,29,TAMIL NADU,2915,TIRUVARUR,870333,311.470776459089,12,602,1858.6066013,8332,0,3978,646602,281130,145079,82,39,307.56339,4180.1462613,50241,58640,179553,271916,8,198041,294061,12310,2013.97627,499292,52,25.66,23.9,100,NA
2025-2026,Oct,29,TAMIL NADU,2924,VIRUDHUNAGAR,2765016,272.748024645934,22,3312,2325.8442322,3801,0,4562,3046750,862508,76281,689,152,279.41035,10915.2050231,134411,142525,217575,267208,99,249003,301492,8363,8309.95044089999,2620413,33,37.16,78.14,100,NA
2025-2026,Oct,29,TAMIL NADU,2927,THOOTHUKKUDI,2051884,265.630923173485,22,1878,1808.6616549,3794,0,5129,2453580,799253,59295,1358,159,355.88957,8682.0184297,107289,113250,151716,179955,43,172987,214936,8923,6517.4672048,2178243,33,51.41,54.75,100,NA
